SeqId,Heap3SortNComp,Heap3SortTns,CountingSortNComp,CountingSortTns,
seq_50_0,133,756100,1459,121100,
seq_50_1,264,149400,1477,73200,
seq_50_2,397,103300,1427,65000,
seq_50_3,531,62400,1465,62300,
seq_50_4,662,80200,1439,69000,
seq_50_5,796,23400,1417,62100,
seq_50_6,926,23000,1489,62100,
seq_50_7,1054,21600,1445,65900,
seq_50_8,1185,23900,1420,67400,
seq_50_9,1315,20800,1437,60300,
seq_50_10,1447,21300,1421,63600,
seq_50_11,1583,22300,1407,66100,
seq_50_12,1720,53700,1470,71500,
seq_50_13,1847,25000,1490,61400,
seq_50_14,1979,18200,1493,61800,
seq_50_15,2107,34300,1488,64200,
seq_50_16,2240,16100,1396,60700,
seq_50_17,2371,18700,1454,113900,
seq_50_18,2507,21700,1359,62400,
seq_50_19,2638,16800,1466,66900,
seq_50_20,2770,20500,1433,65500,
seq_50_21,2905,16100,1434,60000,
seq_50_22,3040,16700,1436,63800,
seq_50_23,3173,16100,1488,833100,
seq_50_24,3305,17000,1475,62300,
seq_50_25,3434,15600,1466,65000,
seq_50_26,3567,45500,1462,63700,
seq_50_27,3697,29800,1484,61800,
seq_50_28,3830,16800,1497,62400,
seq_50_29,3960,15900,1453,62500,
seq_50_30,4086,24800,1441,64900,
seq_50_31,4211,15700,1380,64500,
seq_50_32,4341,16200,1490,62700,
seq_50_33,4471,15500,1446,61400,
seq_50_34,4607,24200,1414,59900,
seq_50_35,4739,12700,1486,62900,
seq_50_36,4866,13400,1433,61400,
seq_50_37,5001,12700,1436,72800,
seq_50_38,5130,15700,1490,64600,
seq_50_39,5260,13600,1462,77700,
seq_50_40,5393,21800,1442,77400,
seq_50_41,5515,14200,1471,27700,
seq_50_42,5645,15000,1408,34500,
seq_50_43,5771,13600,1475,27900,
seq_50_44,5895,13100,1434,63600,
seq_50_45,6020,12700,1496,8900,
seq_50_46,6155,12700,1486,10600,
seq_50_47,6286,12500,1435,8800,
seq_50_48,6412,13100,1499,10100,
seq_50_49,6547,12600,1484,9800,
seq_50_50,6678,12500,1487,9800,
seq_50_51,6805,12400,1398,9000,
seq_50_52,6939,12900,1458,10200,
seq_50_53,7069,13200,1442,10800,
seq_50_54,7197,13000,1484,9300,
seq_50_55,7319,12500,1453,8800,
seq_50_56,7451,12900,1425,10100,
seq_50_57,7585,12300,1491,9600,
seq_50_58,7714,12700,1403,10100,
seq_50_59,7844,12500,1453,9500,
seq_50_60,7973,13800,1411,10400,
seq_50_61,8109,15300,1488,9100,
seq_50_62,8234,6700,1456,9400,
seq_50_63,8365,6700,1477,17400,
seq_50_64,8487,7000,1477,10600,
seq_50_65,8623,6500,1386,8900,
seq_50_66,8755,6800,1412,9800,
seq_50_67,8883,6700,1447,9400,
seq_50_68,9012,6600,1464,9300,
seq_50_69,9150,6700,1466,9000,
seq_50_70,9279,6300,1485,10600,
seq_50_71,9413,6400,1437,9700,
seq_50_72,9544,6400,1433,8900,
seq_50_73,9674,6700,1392,13600,
seq_50_74,9808,6700,1476,9200,
seq_50_75,9928,6300,1468,8700,
seq_50_76,10055,7900,1386,10000,
seq_50_77,10181,6600,1466,9700,
seq_50_78,10312,6400,1428,9200,
seq_50_79,10442,6600,1495,8800,
seq_50_80,10576,7700,1461,9600,
seq_50_81,10707,7600,1442,10300,
seq_50_82,10841,7700,1484,9300,
seq_50_83,10976,7400,1268,9800,
seq_50_84,11112,6900,1463,11500,
seq_50_85,11248,7400,1421,9200,
seq_50_86,11381,7300,1437,9600,
seq_50_87,11507,8300,1457,11100,
seq_50_88,11635,7300,1466,9400,
seq_50_89,11759,7100,1451,9200,
seq_50_90,11895,6900,1471,17200,
seq_50_91,12028,7200,1428,9500,
seq_50_92,12160,7300,1278,8800,
seq_50_93,12286,7300,1456,9900,
seq_50_94,12416,6600,1367,9100,
seq_50_95,12552,6900,1442,8400,
seq_50_96,12683,7200,1374,9700,
seq_50_97,12809,6900,1385,8100,
seq_50_98,12948,7000,1484,9900,
seq_50_99,13071,7800,1402,74800,
seq_100_0,13390,16500,1478,12200,
seq_100_1,13712,19100,1464,13300,
seq_100_2,14042,30100,1470,12400,
seq_100_3,14361,7700,1491,11300,
seq_100_4,14688,9300,1489,81200,
seq_100_5,15011,7900,1478,11800,
seq_100_6,15319,7900,1470,12200,
seq_100_7,15642,7500,1411,11100,
seq_100_8,15962,6800,1485,12900,
seq_100_9,16284,7500,1492,13000,
seq_100_10,16612,7900,1477,12600,
seq_100_11,16934,7900,1481,12700,
seq_100_12,17256,8300,1458,12700,
seq_100_13,17575,8200,1487,77200,
seq_100_14,17894,8600,1463,11300,
seq_100_15,18209,8000,1483,13900,
seq_100_16,18537,8700,1464,11100,
seq_100_17,18860,8200,1451,12700,
seq_100_18,19187,7700,1482,67400,
seq_100_19,19511,8600,1439,12900,
seq_100_20,19842,7600,1481,11600,
seq_100_21,20167,7400,1461,13900,
seq_100_22,20482,8600,1430,11500,
seq_100_23,20793,8900,1494,16400,
seq_100_24,21121,7700,1452,13400,
seq_100_25,21440,8100,1457,11400,
seq_100_26,21763,7700,1471,13200,
seq_100_27,22081,9200,1496,83500,
seq_100_28,22407,8000,1468,12100,
seq_100_29,22730,7600,1468,12500,
seq_100_30,23047,9100,1489,13600,
seq_100_31,23365,6700,1471,12100,
seq_100_32,23679,8900,1473,53500,
seq_100_33,24007,8900,1468,13500,
seq_100_34,24327,6900,1483,11800,
seq_100_35,24652,8000,1483,12300,
seq_100_36,24968,8100,1445,12400,
seq_100_37,25293,7700,1483,14200,
seq_100_38,25621,7600,1486,12800,
seq_100_39,25930,7500,1492,12900,
seq_100_40,26254,7300,1486,12200,
seq_100_41,26578,7300,1482,77000,
seq_100_42,26901,7600,1471,12300,
seq_100_43,27232,7800,1481,11500,
seq_100_44,27554,8100,1489,13400,
seq_100_45,27880,7700,1448,5700,
seq_100_46,28203,7000,1479,5000,
seq_100_47,28525,7500,1480,5900,
seq_100_48,28851,7200,1483,3300,
seq_100_49,29171,7600,1426,4800,
seq_100_50,29494,8400,1439,4000,
seq_100_51,29803,7400,1405,4500,
seq_100_52,30129,7700,1445,3700,
seq_100_53,30453,7600,1476,5400,
seq_100_54,30774,7300,1486,4200,
seq_100_55,31109,7900,1462,5300,
seq_100_56,31431,7300,1480,3800,
seq_100_57,31750,7400,1450,4900,
seq_100_58,32076,7800,1472,4000,
seq_100_59,32401,7200,1487,7200,
seq_100_60,32720,8400,1485,3600,
seq_100_61,33044,7200,1444,4700,
seq_100_62,33375,7300,1465,3800,
seq_100_63,33699,7900,1470,4900,
seq_100_64,34019,7100,1489,4200,
seq_100_65,34334,8500,1475,4700,
seq_100_66,34654,7900,1483,4500,
seq_100_67,34981,7500,1470,4400,
seq_100_68,35301,6900,1474,4300,
seq_100_69,35627,8300,1476,3300,
seq_100_70,35950,7400,1471,4400,
seq_100_71,36263,7400,1463,3400,
seq_100_72,36592,7700,1465,5100,
seq_100_73,36901,7000,1430,3500,
seq_100_74,37218,7200,1466,7300,
seq_100_75,37539,6700,1473,3400,
seq_100_76,37862,7400,1473,7000,
seq_100_77,38185,8500,1488,3500,
seq_100_78,38514,6800,1431,5000,
seq_100_79,38839,7500,1460,3600,
seq_100_80,39161,8200,1473,4800,
seq_100_81,39486,8200,1444,4700,
seq_100_82,39805,7300,1487,5300,
seq_100_83,40125,10600,1432,4000,
seq_100_84,40441,7400,1491,5200,
seq_100_85,40767,7000,1489,8200,
seq_100_86,41075,8400,1473,7500,
seq_100_87,41404,7100,1490,5000,
seq_100_88,41728,9200,1430,10100,
seq_100_89,42045,7600,1492,5200,
seq_100_90,42353,7700,1472,3600,
seq_100_91,42671,7600,1468,5100,
seq_100_92,42992,7800,1473,4300,
seq_100_93,43315,7800,1481,4500,
seq_100_94,43635,7300,1473,6800,
seq_100_95,43954,7200,1475,4500,
seq_100_96,44280,7100,1466,4500,
seq_100_97,44608,6600,1490,3400,
seq_100_98,44916,7800,1429,4500,
seq_100_99,45230,7000,1494,3400,
seq_150_0,45775,11600,1450,7200,
seq_150_1,46308,11000,1482,8600,
seq_150_2,46847,11100,1493,6300,
seq_150_3,47390,11200,1487,5100,
seq_150_4,47933,11600,1494,3500,
seq_150_5,48479,12200,1466,4400,
seq_150_6,49020,11900,1497,4700,
seq_150_7,49565,10900,1488,6300,
seq_150_8,50116,11200,1489,4600,
seq_150_9,50648,10700,1484,6800,
seq_150_10,51179,11600,1494,3800,
seq_150_11,51714,12400,1468,4900,
seq_150_12,52249,11300,1475,4900,
seq_150_13,52794,12000,1454,3900,
seq_150_14,53340,11200,1478,4700,
seq_150_15,53863,11100,1425,4500,
seq_150_16,54392,11100,1493,4300,
seq_150_17,54918,11700,1460,4300,
seq_150_18,55456,13300,1473,4600,
seq_150_19,55997,11200,1473,3700,
seq_150_20,56530,11500,1492,4600,
seq_150_21,57055,11200,1479,3900,
seq_150_22,57592,11200,1473,4600,
seq_150_23,58137,11200,1481,9100,
seq_150_24,58671,11100,1459,3800,
seq_150_25,59217,10800,1486,4800,
seq_150_26,59755,11300,1457,4900,
seq_150_27,60304,10900,1492,3900,
seq_150_28,60839,11000,1483,4600,
seq_150_29,61380,11900,1494,4600,
seq_150_30,61923,11700,1464,3500,
seq_150_31,62450,11300,1486,4900,
seq_150_32,62988,11100,1470,4600,
seq_150_33,63522,13700,1461,4300,
seq_150_34,64056,11500,1489,5200,
seq_150_35,64594,11100,1489,5000,
seq_150_36,65124,11600,1444,3800,
seq_150_37,65661,11200,1489,6600,
seq_150_38,66197,11800,1496,5000,
seq_150_39,66733,12800,1461,4900,
seq_150_40,67265,11400,1468,5100,
seq_150_41,67814,11800,1488,4500,
seq_150_42,68346,12000,1497,4800,
seq_150_43,68876,23200,1477,15800,
seq_150_44,69421,11700,1481,3500,
seq_150_45,69966,11000,1495,4800,
seq_150_46,70515,11400,1478,5100,
seq_150_47,71048,12200,1461,3600,
seq_150_48,71592,11600,1494,4500,
seq_150_49,72134,11300,1495,4800,
seq_150_50,72663,11000,1485,3800,
seq_150_51,73196,11100,1495,4900,
seq_150_52,73729,11700,1485,3800,
seq_150_53,74268,10800,1484,4600,
seq_150_54,74800,12100,1476,5300,
seq_150_55,75336,12200,1453,3600,
seq_150_56,75880,12700,1496,4800,
seq_150_57,76411,10900,1497,4800,
seq_150_58,76956,11200,1472,3500,
seq_150_59,77493,10800,1483,5300,
seq_150_60,78034,11200,1471,4600,
seq_150_61,78564,12100,1485,3500,
seq_150_62,79103,10900,1481,5400,
seq_150_63,79632,28000,1480,9600,
seq_150_64,80164,12200,1440,4200,
seq_150_65,80700,12100,1476,6100,
seq_150_66,81243,10900,1474,4700,
seq_150_67,81785,11800,1484,3800,
seq_150_68,82326,11100,1481,4800,
seq_150_69,82861,10900,1493,4200,
seq_150_70,83398,11500,1483,4300,
seq_150_71,83924,15000,1475,5900,
seq_150_72,84460,12200,1477,3600,
seq_150_73,84982,11800,1466,5200,
seq_150_74,85520,11900,1492,4600,
seq_150_75,86060,11100,1487,4300,
seq_150_76,86588,11800,1478,4700,
seq_150_77,87132,11200,1466,4300,
seq_150_78,87671,11200,1490,3500,
seq_150_79,88212,11400,1461,4800,
seq_150_80,88736,11700,1482,6800,
seq_150_81,89263,11400,1487,4600,
seq_150_82,89802,11100,1494,3500,
seq_150_83,90337,11300,1487,4700,
seq_150_84,90870,11100,1497,4500,
seq_150_85,91401,11000,1477,3500,
seq_150_86,91934,11700,1434,4100,
seq_150_87,92476,11800,1491,4900,
seq_150_88,93014,11200,1483,3400,
seq_150_89,93551,11000,1492,5100,
seq_150_90,94092,11300,1492,4800,
seq_150_91,94621,11300,1467,3700,
seq_150_92,95155,11000,1485,5300,
seq_150_93,95690,12400,1495,5100,
